Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.document-core.json	45634	-	0	0	0	0	1	0	22	96	0	0	0	0	0	0	0	1	0	0	31	273	820	0	0	0	6	0	3
fsh-generated/resources/AllergyIntolerance-example-allergy-intolerance-data-absent-reason.json	1496	5	0	0	1	0	0	0	1	1048	0	0	0	0	0	0	0	0	0	0	10	19	44	0	0	0	0	0	0
fsh-generated/resources/Procedure-example-procedure-data-absent-reason.json	937	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	10	15	35	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-accession-number-identifier-document.json	1488	2	0	16	0	0	0	0	0	67	0	0	0	0	1	0	0	0	0	0	1	129	916	0	1	0	2	0	1
fsh-generated/resources/StructureDefinition-fr-actor-extension.json	4466	3	0	17	0	0	0	0	1	38	0	0	1	0	0	0	0	1	0	0	1	202	647	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-advance-directive-document.json	4326	3	0	38	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	1	381	879	0	0	0	6	1	2
fsh-generated/resources/StructureDefinition-fr-adverse-event-document.json	3874	3	0	104	0	0	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	211	758	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fr-allergy-intolerance-document.json	5087	4	0	34	0	0	0	0	0	24	0	0	1	0	0	0	0	1	0	0	1	229	559	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fr-author-time-extension.json	1481	2	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	56	235	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-body-structure-document.json	1382	3	0	12	1	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	1	88	294	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-fr-bundle-document.json	6897	6	0	449	0	0	0	0	0	61	0	0	1	0	0	0	0	2	0	0	1	819	2473	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-fr-care-plan-document.json	2426	4	0	33	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	0	228	846	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fr-comparison-studies-extension.json	1550	3	0	11	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	1	53	268	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-composition-document.json	21896	8	0	97	0	0	0	0	1	145	0	0	1	0	0	0	0	2	0	0	1	1073	1984	0	0	0	23	0	2
fsh-generated/resources/StructureDefinition-fr-condition-document.json	7280	4	0	52	0	0	0	0	0	33	0	0	1	0	0	0	0	0	0	0	1	294	680	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-fr-device-auteur-document.json	1633	3	0	19	0	0	0	0	0	14	0	0	0	0	1	0	0	1	0	0	1	175	414	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-device-request-document.json	7086	3	0	37	0	0	0	0	0	31	0	0	1	0	0	0	0	1	0	0	1	289	786	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-device-use-statement-document.json	5971	3	0	30	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	221	512	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fr-diagnostic-report-bio-chapter-document.json	5372	3	0	48	0	0	0	0	0	38	0	0	1	0	1	0	0	0	0	0	1	251	549	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-fr-diagnostic-report-document.json	6503	2	0	1	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	1	265	579	0	1	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-diagnostic-report-imaging-document.json	8835	4	0	86	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	1	321	615	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-fr-document-reference-document.json	2323	2	0	31	0	0	0	0	0	14	0	0	1	0	1	0	0	0	0	0	0	204	416	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-fr-encounter-care-document.json	3876	3	0	28	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	1	343	696	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-fr-encounter-document.json	7724	3	0	56	0	0	0	0	0	51	0	0	1	0	0	0	0	2	0	0	0	502	1073	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-fr-endpoint-wado-document.json	1718	2	0	12	1	0	0	0	1	11	0	0	0	0	1	0	0	0	0	0	1	110	298	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-family-member-history-body-site-extension.json	1742	3	0	6	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	55	201	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-family-member-history-document.json	6799	3	0	22	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	1	256	467	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-human-name-document.json	1312	2	0	7	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	66	220	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-imaging-procedure-extension.json	1580	2	0	4	0	0	0	0	0	7	0	0	1	0	0	0	0	1	0	0	0	51	249	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-imaging-study-document.json	7268	4	0	28	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	1	276	619	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-fr-immunization-document.json	9883	5	0	38	0	0	0	0	0	39	0	0	1	0	0	0	0	1	0	0	1	431	801	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-immunization-recommendation-document.json	5894	3	0	31	0	0	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	234	439	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fr-immunization-type-extension.json	1700	2	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	53	192	0	0	0	1	0	0
