Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.document-core.json	45658	-	0	0	0	0	0	0	20	91	0	0	0	0	1	0	0	1	0	0	41	282	780	0	0	0	7	0	4
fsh-generated/resources/AllergyIntolerance-example-allergy-intolerance-data-absent-reason.json	1496	4	0	0	1	0	0	0	0	918	0	0	0	0	0	0	0	0	0	0	11	20	39	0	0	0	0	0	0
fsh-generated/resources/Procedure-example-procedure-data-absent-reason.json	937	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8	16	29	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-accession-number-identifier-document.json	1488	2	0	15	0	0	0	0	0	68	0	0	1	0	0	0	0	1	0	0	0	133	1070	0	0	1	3	0	0
fsh-generated/resources/StructureDefinition-fr-actor-extension.json	4466	2	0	20	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	1	207	738	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fr-advance-directive-document.json	4326	3	0	36	0	0	0	0	0	42	0	0	1	0	1	0	0	1	0	0	1	438	939	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-adverse-event-document.json	3874	2	0	104	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	1	258	736	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-fr-allergy-intolerance-document.json	5087	4	0	35	0	0	0	0	0	21	0	0	1	0	0	0	0	1	0	0	1	282	735	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fr-author-time-extension.json	1481	3	0	6	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	60	245	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-body-structure-document.json	1382	2	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	93	284	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fr-bundle-document.json	6897	5	0	322	0	0	0	0	0	58	0	0	1	0	1	0	0	4	0	0	0	917	1964	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-fr-care-plan-document.json	2426	2	0	28	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	1	268	721	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-fr-comparison-studies-extension.json	1550	2	0	8	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	59	315	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-composition-document.json	21925	6	0	86	0	0	0	0	0	152	0	0	1	0	1	0	0	3	0	0	1	1261	2168	0	1	0	23	1	3
fsh-generated/resources/StructureDefinition-fr-condition-document.json	7280	3	0	31	0	0	0	0	0	34	0	0	1	0	0	0	0	0	0	0	1	341	631	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-fr-device-auteur-document.json	1633	1	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	1	206	439	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fr-device-request-document.json	7086	3	0	25	0	0	0	0	1	29	0	0	1	0	1	0	0	0	0	0	0	334	712	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-fr-device-use-statement-document.json	5971	2	0	25	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	1	257	426	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-fr-diagnostic-report-bio-chapter-document.json	5372	3	0	46	0	0	0	0	0	36	0	0	1	0	0	0	0	0	0	0	1	292	543	0	0	0	8	0	0
