Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.document-core.json	45854	-	0	0	0	0	0	0	21	61	0	0	0	0	0	0	0	1	0	0	25	261	849	0	0	0	9	0	2
fsh-generated/resources/AllergyIntolerance-example-allergy-intolerance-data-absent-reason.json	1483	4	0	0	1	0	0	0	0	1402	0	0	0	0	0	0	0	0	0	0	9	15	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-cs-note-type.json	732	2	0	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	0	0	10	12	110	0	0	0	1	0	0
fsh-generated/resources/Patient-ba499de3-aeae-43c3-82cb-0ba2718cfa41.json	3335	2	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	9	18	31	0	0	0	0	0	0
fsh-generated/resources/Patient-ba499de3-aeae-43c3-82cb-0ba2718cfa55.json	3335	2	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	9	18	20	0	0	0	0	0	0
fsh-generated/resources/Procedure-example-procedure-data-absent-reason.json	924	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	15	22	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-accession-number-identifier-document.json	1488	2	0	16	0	0	0	0	0	77	0	0	1	0	0	0	0	0	0	0	1	101	1051	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-actor-extension.json	4466	3	0	20	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	1	162	504	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-advance-directive-document.json	4332	2	0	44	0	0	0	0	0	44	0	0	1	0	0	0	0	2	0	0	1	280	779	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-fr-adverse-event-document.json	3874	2	0	144	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	0	173	802	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-allergy-intolerance-document.json	6122	4	0	44	0	0	0	0	0	39	0	0	1	0	0	0	0	1	0	0	1	281	880	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-fr-author-time-extension.json	1481	2	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	55	296	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-body-structure-document.json	1382	2	0	21	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	1	83	291	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-bundle-document.json	6948	3	0	485	0	0	0	0	0	74	0	0	1	0	0	0	0	2	0	0	0	791	2102	0	0	0	17	0	2
fsh-generated/resources/StructureDefinition-fr-care-plan-document.json	2426	2	0	27	0	0	0	0	1	28	0	0	0	0	0	0	0	1	0	0	1	233	708	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fr-comparison-studies-extension.json	1550	2	0	8	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	53	371	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-composition-document.json	24157	6	0	71	0	0	0	0	0	158	0	0	1	0	0	0	0	2	0	0	2	1121	2611	0	0	0	23	1	2
fsh-generated/resources/StructureDefinition-fr-condition-document.json	7095	2	0	32	0	0	0	0	0	140	0	0	0	0	0	0	0	1	0	0	0	297	703	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-fr-device-auteur-document.json	1633	2	0	17	1	0	0	0	0	18	0	0	1	0	0	0	0	1	0	0	0	177	560	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-device-request-document.json	5935	2	0	30	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	1	358	851	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fr-device-use-statement-document.json	4651	2	0	25	0	0	0	0	1	23	0	0	1	0	0	0	0	1	0	0	0	192	388	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fr-diagnostic-report-bio-chapter-document.json	5372	2	0	51	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	1	250	531	0	0	0	5	0	0
